codigo_mun,total_homicidios,cod_dpto,municipio,poblacion,nombre_dpto,longitud,latitud,tasa_homicidios
5001,309,5,Medellín,2616335,ANTIOQUIA,"-75,581775","6,246631",11.81041418625673
5002,10,5,Abejorral,21468,ANTIOQUIA,"-75,428739","5,789315",46.5809577044904
5021,1,5,Alejandría,4955,ANTIOQUIA,"-75,141346","6,376061",20.181634712411707
5030,12,5,Amagá,32412,ANTIOQUIA,"-75,702188","6,038708",37.02332469455757
5031,35,5,Amalfi,27846,ANTIOQUIA,"-75,077501","6,909655",125.6913021618904
5034,20,5,Andes,46183,ANTIOQUIA,"-75,878828","5,657194",43.30597839031678
5036,4,5,Angelópolis,6109,ANTIOQUIA,"-75,711389","6,109719",65.47716483876248
5038,4,5,Angostura,12121,ANTIOQUIA,"-75,335116","6,885175",33.000577510106424
5040,32,5,Anorí,19675,ANTIOQUIA,"-75,148355","7,074703",162.64294790343075
5042,7,5,Santafé de Antioquia,28049,ANTIOQUIA,"-75,826648","6,556484",24.95632642874969
5044,5,5,Anzá,7483,ANTIOQUIA,"-75,854442","6,302641",66.81812107443538
5045,33,5,Apartadó,131422,ANTIOQUIA,"-76,625279","7,882968",25.109951149731398
5051,3,5,Arboletes,32192,ANTIOQUIA,"-76,426708","8,849317",9.319085487077535
5055,6,5,Argelia,8024,ANTIOQUIA,"-75,14107","5,731474",74.77567298105683
5079,16,5,Barbosa,56103,ANTIOQUIA,"-75,331627","6,439195",28.518974029909273
5086,4,5,Belmira,6405,ANTIOQUIA,"-75,667779","6,606319",62.4512099921936
5088,50,5,Bello,566456,ANTIOQUIA,"-75,555245","6,333587",8.826810908525994
5091,16,5,Betania,10892,ANTIOQUIA,"-75,97679","5,74615",146.89680499449136
5093,11,5,Betulia,16604,ANTIOQUIA,"-75,984452","6,115208",66.24909660322814
5101,39,5,Ciudad Bolívar,27711,ANTIOQUIA,"-76,021509","5,850273",140.7383349572372
5107,5,5,Briceño,8523,ANTIOQUIA,"-75,55036","7,112803",58.66478939340608
5113,3,5,Buriticá,10017,ANTIOQUIA,"-75,907","6,720759",29.94908655286014
5120,37,5,Cáceres,31160,ANTIOQUIA,"-75,35205","7,578366",118.74197689345314
5125,2,5,Caicedo,8870,ANTIOQUIA,"-75,98293","6,405607",22.547914317925592
5129,16,5,Caldas,86081,ANTIOQUIA,"-75,633673","6,091077",18.58714466607033
5134,8,5,Campamento,9755,ANTIOQUIA,"-75,298091","6,979771",82.00922603792927
5138,10,5,Cañasgordas,16371,ANTIOQUIA,"-76,028228","6,753859",61.083623480544865
5142,2,5,Caracolí,4824,ANTIOQUIA,"-74,757421","6,409829",41.459369817578775
5145,1,5,Caramanta,4951,ANTIOQUIA,"-75,643868","5,54853",20.197939810139363
5147,9,5,Carepa,52184,ANTIOQUIA,"-76,652652","7,755148",17.246665644642036
5148,19,5,El Carmen de Viboral,64265,ANTIOQUIA,"-75,333901","6,082885",29.565082082004203
5150,1,5,Carolina,4219,ANTIOQUIA,"-75,283192","6,725995",23.70229912301493
5154,75,5,Caucasia,97803,ANTIOQUIA,"-75,197996","7,977278",76.68476427103462
5172,16,5,Chigorodó,62235,ANTIOQUIA,"-76,681531","7,666147",25.70900618622961
5190,4,5,Cisneros,10422,ANTIOQUIA,"-75,087047","6,537829",38.380349261178274
5197,7,5,Cocorná,16551,ANTIOQUIA,"-75,185483","6,058295",42.293517008035764
5206,1,5,Concepción,5049,ANTIOQUIA,"-75,257587","6,394348",19.805902158843335
5209,20,5,Concordia,22737,ANTIOQUIA,"-75,908448","6,045738",87.96235211329551
5212,20,5,Copacabana,84209,ANTIOQUIA,"-75,509384","6,348557",23.75043047655239
5234,9,5,Dabeiba,24586,ANTIOQUIA,"-76,261614","6,998112",36.60619864963801
5237,4,5,Donmatías,20360,ANTIOQUIA,"-75,39263","6,485603",19.646365422396855
5240,1,5,Ebéjico,12820,ANTIOQUIA,"-75,766413","6,325615",7.800312012480499
5250,29,5,El Bagre,56306,ANTIOQUIA,"-74,799097","7,5975",51.504280183284195
5264,2,5,Entrerríos,12062,ANTIOQUIA,"-75,517685","6,566273",16.5809981760902
5266,12,5,Envigado,248304,ANTIOQUIA,"-75,582192","6,166695",4.832785617630002
5282,3,5,Fredonia,25981,ANTIOQUIA,"-75,675072","5,928039",11.546899657441978
5284,7,5,Frontino,21905,ANTIOQUIA,"-76,130765","6,776066",31.956174389408808
5306,1,5,Giraldo,5963,ANTIOQUIA,"-75,952158","6,680808",16.770082173402653
5308,13,5,Girardota,55902,ANTIOQUIA,"-75,444238","6,379472",23.25498193266788
5310,4,5,Gómez Plata,10397,ANTIOQUIA,"-75,220018","6,683269",38.47263633740502
5313,4,5,Granada,10785,ANTIOQUIA,"-75,184446","6,142892",37.088548910523876
5315,2,5,Guadalupe,6966,ANTIOQUIA,"-75,239862","6,815069",28.71088142405972
5318,18,5,Guarne,59710,ANTIOQUIA,"-75,441612","6,27787",30.145704237146205
5321,2,5,Guatapé,9020,ANTIOQUIA,"-75,160041","6,232461",22.172949002217294
5347,2,5,Heliconia,5716,ANTIOQUIA,"-75,734322","6,206757",34.98950314905528
5353,10,5,Hispania,5846,ANTIOQUIA,"-75,906587","5,799461",171.05713308244952
5360,15,5,Itagüí,299348,ANTIOQUIA,"-75,612056","6,175079",5.010890334994722
5361,14,5,Ituango,28890,ANTIOQUIA,"-75,764673","7,171629",48.45967462789893
5364,2,5,Jardín,15513,ANTIOQUIA,"-75,818982","5,597542",12.89241281505834
5368,2,5,Jericó,14454,ANTIOQUIA,"-75,785499","5,789748",13.83700013837
5376,7,5,La Ceja,70387,ANTIOQUIA,"-75,429433","6,028062",9.945018256212085
5380,10,5,La Estrella,77611,ANTIOQUIA,"-75,637708","6,145238",12.88477148857765
5400,6,5,La Unión,23072,ANTIOQUIA,"-75,360874","5,973845",26.005547850208043
5411,5,5,Liborina,10649,ANTIOQUIA,"-75,812838","6,677316",46.952765517889006
5425,5,5,Maceo,8707,ANTIOQUIA,"-74,78716","6,552116",57.42506029631331
5440,16,5,Marinilla,69898,ANTIOQUIA,"-75,339345","6,173995",22.89049758219119
5467,1,5,Montebello,7035,ANTIOQUIA,"-75,523455","5,946313",14.214641080312722
5475,1,5,Murindó,5300,ANTIOQUIA,"-76,817485","6,97771",18.867924528301884
5480,3,5,Mutatá,15035,ANTIOQUIA,"-76,435875","7,242875",19.953441968739607
5483,4,5,Nariño,10812,ANTIOQUIA,"-75,176262","5,610777",36.99593044765076
